repository_name,repository_url,has_sbom_artifact,has_signature_artifact,has_attestation_artifact,sbom_ci_tools_detected,latest_release_tag,latest_release_analyzed_at
cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,false,false,false,,0.8.4,2016-04-29T22:19:51Z
baremetal-operator,https://github.com/metal3-io/baremetal-operator,false,false,false,,capm3-v0.3.2,2020-06-17T07:23:21Z
openyurt,https://github.com/openyurtio/openyurt,false,false,false,"goreleaser,sbom-generator",v0.1.0-beta.1,2021-05-26T08:09:58Z
dragonfly,https://github.com/dragonflyoss/dragonfly,false,false,false,"sbom-generator,signer,goreleaser",v0.1.0,2021-08-12T07:00:12Z
keycloak,https://github.com/keycloak/keycloak,false,false,false,sbom-generator,12.0.0,2020-12-16T12:02:56Z
kubescape,https://github.com/kubescape/kubescape,false,false,false,"signer,sbom-generator,goreleaser",v0.0.5,2021-08-12T13:15:31Z
kyverno,https://github.com/kyverno/kyverno,false,false,false,"signer,sbom-generator,goreleaser",v0.1.0,2019-05-24T01:09:15Z
notation,https://github.com/notaryproject/notation,false,false,false,goreleaser,v0.7.0-alpha.1,2021-10-20T17:20:49Z
longhorn,https://github.com/longhorn/longhorn,false,false,false,,v0.2.0,2018-03-23T21:53:32Z
cni,https://github.com/containernetworking/cni,false,true,false,signature,v0.2.0,2016-04-27T16:17:07Z
crossplane,https://github.com/crossplane/crossplane,false,false,false,sbom-generator,v0.1.0,2018-12-04T15:27:33Z
karmada,https://github.com/karmada-io/karmada,false,false,false,"sbom-generator,signer",v0.1.0,2020-12-04T13:28:24Z
kubeflow,https://github.com/kubeflow/kubeflow,false,false,false,,v0.1.0-rc.0,2018-03-27T23:44:03Z
volcano,https://github.com/volcano-sh/volcano,false,false,false,,v0.1,2019-05-11T04:02:04Z
wasmCloud,https://github.com/wasmCloud/wasmCloud,false,false,false,,wasmcloud-control-interface-v0.1.0,2021-02-16T17:18:09Z
grpc,https://github.com/grpc/grpc,false,false,false,,release-0_5_0,2015-02-26T00:56:56Z
contour,https://github.com/projectcontour/contour,false,false,false,sbom-generator,v0.1.0,2017-10-31T07:31:37Z
emissary,https://github.com/emissary-ingress/emissary,false,false,false,sbom-generator,0.35.3-rc1,2018-07-18T16:46:18Z
nats-server,https://github.com/nats-io/nats-server,false,false,false,"sbom-generator,signer,goreleaser",v0.5.1,2014-04-25T18:30:12Z
strimzi-kafka-operator,https://github.com/strimzi/strimzi-kafka-operator,false,false,false,,0.1.0-rc1,2017-11-07T16:52:58Z
hub,https://github.com/artifacthub/hub,false,false,false,"sbom-generator,goreleaser",v0.1.0,2020-06-03T14:19:07Z
backstage,https://github.com/backstage/backstage,false,false,false,,v0.1.1-alpha.17,2020-08-05T18:26:16Z
pack,https://github.com/buildpacks/pack,false,false,false,,v0.0.1,2018-08-20T22:04:56Z
kubevela,https://github.com/kubevela/kubevela,false,false,false,"signer,sbom-generator,goreleaser",v0.0.1-alpha,2020-07-17T05:59:50Z
kubevirt,https://github.com/kubevirt/kubevirt,false,false,false,,v0.0.1-alpha.4,2017-03-20T15:52:32Z
operator-sdk,https://github.com/operator-framework/operator-sdk,false,false,false,,v0.0.1,2018-03-12T21:47:07Z
kruise,https://github.com/openkruise/kruise,false,false,false,sbom-generator,v0.1.0-beta.1,2019-06-17T08:06:18Z
Flatcar,https://github.com/flatcar/Flatcar,false,false,false,,N/A,N/A
spec,https://github.com/open-feature/spec,false,false,false,,v0.1.0,2022-07-13T18:46:26Z
chaos-mesh,https://github.com/chaos-mesh/chaos-mesh,false,false,false,signer,v0.8.0,2020-04-26T12:09:14Z
litmus,https://github.com/litmuschaos/litmus,false,false,false,sbom-generator,0.6.0,2019-09-27T10:24:45Z
opencost,https://github.com/opencost/opencost,false,false,false,sbom-generator,v1.45.3,2019-10-10T21:12:32Z
cortex,https://github.com/cortexproject/cortex,false,false,false,,v0.1.0-rc.0,2019-08-01T17:03:00Z
community,https://github.com/open-telemetry/community,false,false,false,,N/A,N/A
thanos,https://github.com/thanos-io/thanos,false,false,false,,v0.1.0-rc.0,2018-05-18T14:12:05Z
