repository_name,repository_url,has_sbom_artifact,has_signature_artifact,has_attestation_artifact,sbom_ci_tools_detected,latest_release_tag,latest_release_analyzed_at
akri,https://github.com/project-akri/akri,false,false,false,,v0.0.35,2020-10-16T19:31:44Z
atlantis,https://github.com/runatlantis/atlantis,false,false,false,"signer,goreleaser",v0.1.0,2017-08-02T20:40:14Z
cdk8s,https://github.com/cdk8s-team/cdk8s,false,false,false,,v0.1.2,2020-02-12T10:00:59Z
kagent,https://github.com/kagent-dev/kagent,false,false,false,sbom-generator,v0.0.2,2025-03-04T20:38:49Z
kairos,https://github.com/kairos-io/kairos,false,false,false,"sbom-generator,signer",v1.20.4,2021-07-30T16:47:06Z
kcl,https://github.com/kcl-lang/kcl,false,false,false,,v0.4.2-alpha.1,2022-05-16T07:45:50Z
kitops,https://github.com/kitops-ml/kitops,false,false,false,"sbom-generator,goreleaser",v0.1.0-alpha,2024-03-01T16:24:48Z
kpt,https://github.com/kptdev/kpt,false,false,false,"signer,goreleaser",v0.31.0,2020-07-07T18:48:36Z
kubean,https://github.com/kubean-io/kubean,false,false,false,sbom-generator,v0.0.1,2022-07-27T02:27:51Z
kusion,https://github.com/KusionStack/kusion,false,false,false,goreleaser,v0.4.1-alpha.1,2022-05-18T07:06:18Z
meshery,https://github.com/meshery/meshery,false,false,false,"goreleaser,sbom-generator",v0.0.1,2018-11-16T18:56:29Z
opentofu,https://github.com/opentofu/opentofu,false,true,false,"signature,goreleaser,signer",v1.6.0-alpha1,2023-10-04T13:03:22Z
runme,https://github.com/runmedev/runme,false,false,false,goreleaser,v0.1.0,2022-07-18T12:19:18Z
tinkerbell,https://github.com/tinkerbell/tinkerbell,false,false,false,,v0.17.0,2025-04-10T20:32:09Z
distribution,https://github.com/distribution/distribution,false,false,false,,v2.0.0-alpha.0,2015-01-29T21:33:43Z
zot,https://github.com/project-zot/zot,false,false,false,sbom-generator,v0.2.6,2019-06-27T00:43:15Z
bank-vaults,https://github.com/bank-vaults/bank-vaults,false,false,false,"sbom-generator,signer",0.1.1,2018-04-27T13:38:07Z
bpfman,https://github.com/bpfman/bpfman,false,false,false,signer,v0.1.1,2023-05-19T16:11:10Z
cartography,https://github.com/cartography-cncf/cartography,false,false,false,,0.1.0,2019-03-01T23:53:53Z
confidential-containers,https://github.com/confidential-containers/confidential-containers,false,false,false,,v0.7.0,2023-07-24T14:07:14Z
ContainerSSH,https://github.com/ContainerSSH/ContainerSSH,false,false,false,"signer,goreleaser",0.1.0,2020-06-18T20:58:39Z
copacetic,https://github.com/project-copacetic/copacetic,false,false,false,"sbom-generator,goreleaser",v0.1.0,2023-01-11T23:16:55Z
dex,https://github.com/dexidp/dex,false,false,false,"sbom-generator,signer",v0.1.0,2015-09-03T16:57:43Z
external-secrets,https://github.com/external-secrets/external-secrets,false,false,false,"signer,sbom-generator,goreleaser",v0.1.0,2021-05-05T18:57:27Z
